DEPTH,P-wave,Lithology,Porosity,Density,S-wave,Water Saturation,Volumetric
3548.1499,3332.2788,0,0.0246,2.6231,1502.8273,1,0.848
3548.3,3331.1147,0,0.0282,2.6228,1498.8883,1,0.8218
3548.45,3329.2751,0,0.0294,2.6157,1490.0579,1,0.8046
3548.6001,3328.0122,0,0.037,2.6059,1483.6807,1,0.7653
3548.75,3319.9192,0,0.0354,2.6082,1475.7518,1,0.7872
3548.8999,3314.0552,0,0.0369,2.6079,1479.6838,1,0.7994
3549.05,3307.3501,0,0.037,2.6052,1490.2228,1,0.7791
3549.2,3317.1143,0,0.0361,2.6042,1501.0294,1,0.7584
3549.3501,3322.4663,0,0.0383,2.6072,1500.2898,1,0.7291
3549.5,3321.3135,0,0.0383,2.6121,1495.1639,1,0.7521
3549.6499,3318.1289,0,0.034,2.6267,1489.9016,1,0.7879
3549.8,3328.9419,0,0.0284,2.6349,1488.1094,1,0.8233
3549.95,3342.6301,0,0.027,2.6381,1482.8766,1,0.8272
3550.1001,3344.8352,0,0.0299,2.6348,1476.8832,1,0.808
3550.25,3346.8552,0,0.0258,2.6375,1472.0631,1,0.814
3550.3999,3328.1685,0,0.0232,2.639,1468.7968,1,0.8113
3550.55,3302.5708,0,0.0211,2.6363,1464.6083,1,0.8317
3550.7,3315.0911,0,0.0265,2.6294,1464.0028,1,0.8257
3550.8501,3343.7424,0,0.0315,2.6231,1467.7567,1,0.817
3551,3359.3201,0,0.0288,2.6191,1477.4556,1,0.8384
3551.1499,3378.5178,0,0.0232,2.6245,1490.1827,1,0.8353
3551.3,3384.9915,0,0.0274,2.6301,1503.9916,1,0.7363
3551.45,3365.0876,0,0.0369,2.6306,1514.2042,1,0.6225
3551.6001,3339.6177,0,0.0408,2.6286,1521.969,1,0.6016
3551.75,3342.1943,0,0.0386,2.624,1535.449,1,0.6689
3551.8999,3375.981,0,0.029,2.627,1555.0773,1,0.7898
3552.05,3415.4277,0,0.0255,2.6309,1581.0508,1,0.8589
3552.2,3446.2046,0,0.0244,2.6319,1604.545,1,0.8743
3552.3501,3454.22,0,0.0227,2.632,1620.226,1,0.8563
3552.5,3436.9731,0,0.0255,2.6326,1628.6107,1,0.7991
3552.6499,3395.7368,0,0.0249,2.6373,1631.8983,1,0.7747
3552.8,3396.8145,0,0.0289,2.6374,1629.6344,1,0.765
3552.95,3399.8223,0,0.0287,2.6327,1615.6256,1,0.7764
3553.1001,3406.8401,0,0.0399,2.6227,1604.6173,1,0.7118
3553.25,3396.5061,0,0.044,2.6235,1603.457,1,0.6772
3553.3999,3394.0847,0,0.0433,2.63,1608.3247,1,0.6402
3553.55,3379.0593,0,0.0311,2.6384,1601.8339,1,0.6945
3553.7,3390.0688,0,0.0305,2.6387,1590.3479,1,0.6645
3553.8501,3401.5383,0,0.032,2.6428,1579.4106,1,0.6346
3554,3397.7617,0,0.0384,2.6323,1582.4381,1,0.5743
3554.1499,3402.7458,1,0.0405,2.6187,1585.1154,1,0.565
3554.3,3436.072,1,0.0305,2.6103,1580.2958,1,0.649
3554.45,3477.8447,1,0.0223,2.6162,1574.5508,1,0.6915
3554.6001,3493.6196,1,0.0116,2.6226,1577.7825,1,0.7376
3554.75,3510.4822,1,0.0358,2.6223,1595.8676,1,0.5628
3554.8999,3526.708,1,0.0421,2.625,1620.3586,1,0.5052
3555.05,3556.6677,0,0.0482,2.6288,1663.4391,1,0.4437
3555.2,3570.2383,0,0.0387,2.6399,1700.6296,1,0.4722
3555.3501,3645.78,0,0.0282,2.6476,1753.4908,1,0.5124
3555.5,3664.6978,0,0.0245,2.6525,1780.83,1,0.5249
3555.6499,3720.2205,0,0.0292,2.6594,1799.7661,1,0.4835
3555.8,3745.3989,0,0.0268,2.6641,1802.9326,1,0.4745
3555.95,3789.3171,0,0.0207,2.6621,1811.8732,1,0.488
3556.1001,3799.8416,0,0.0157,2.6579,1823.7063,1,0.5189
3556.25,3793.8801,0,0.0214,2.647,1858.203,1,0.5474
3556.3999,3801.1531,0,0.0239,2.6548,1875.6764,1,0.548
3556.55,3844.4739,0,0.0262,2.6549,1870.6093,1,0.5098
3556.7,3806.2439,0,0.0251,2.6583,1846.1586,1,0.4909
3556.8501,3700.8616,0,0.021,2.654,1771.7784,1,0.5565
3557,3648.7476,0,0.0242,2.6534,1734.1815,1,0.5987
3557.1499,3607.5339,0,0.0215,2.6431,1694.6599,1,0.737
3557.3,3599.0745,0,0.0168,2.6417,1692.2307,1,0.7798
3557.45,3581.561,0,0.0044,2.6403,1703.5234,1,0.834
3557.6001,3565.2009,0,0.0057,2.6423,1712.0262,1,0.8141
3557.75,3539.2939,0,0.0186,2.6355,1714.1492,1,0.7555
3557.8999,3531.5747,0,0.0268,2.637,1718.0394,1,0.7299
3558.05,3548.9822,0,0.0249,2.6374,1731.2235,1,0.7603
3558.2,3562.8467,0,0.0163,2.6351,1738.1301,1,0.8315
3558.3501,3568.5334,0,0.0064,2.6297,1734.9604,1,0.8694
3558.5,3535.98,0,0.0087,2.6313,1727.3594,1,0.8121
3558.6499,3484.7568,0,0.0255,2.637,1721.4412,1,0.6625
3558.8,3424.0491,0,0.0308,2.6354,1710.6158,1,0.6209
3558.95,3389.2085,0,0.0313,2.6331,1683.5135,1,0.6355
3559.1001,3384.4504,0,0.0259,2.6274,1659.7981,1,0.7103
